set WARZYWA:= Ziemniaki Kapusta Buraki Marchew;
set PRODUCENCI:= P1 P2 P3 P4 P5 P6;
set MAGAZYNY:= M1 M2 M3;
set SKLEPY:= S1 S2 S3 S4 S5 S6 S7 S8 S9 S10;
set TYGODNIE:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 
               27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52;

param ProdukcjaRoczna:
	Ziemniaki Kapusta Buraki Marchew:=
P1     200      80      20     60
P2      90     100     240     80
P3      80      70     140    150
P4      90      50     160    150
P5     140     230      90    210
P6     150     130      10    190;


param PojemnoscMagazynow:=

M1   800
M2  1200
M3   750;

param PojemnoscMagazynowPrzysklepowych:=

   S1   9.55
   S2   9.05
   S3   8.10
   S4   8.42
   S5   9.19
   S6   9.33
   S7   9.13
   S8   8.83
   S9   8.82
   S10  8.60
;


param OdleglosciProducentowOdMagazynow:

     M1     M2     M3   :=
P1  13.65  30.67  38.78
P2  13.01  22.38  40.38
P3  35.01  17.54  36.59
P4  31.49  16.44  23.07
P5  34.76  32.29   6.83
P6  30.02  21.71  26.34
;



param OdlegloscMagazynowOdSklepow : 
      S1    S2    S3    S4    S5    S6    S7    S8    S9    S10 :=
 M1  12.39 12.05 15.32 24.17 12.72 16.93 18.74 14.63 16.01 19.14
 M2  12.14 15.17 19.45 20.04 18.03 22.07 19.92 17.25 22.03 22.17
 M3  16.99 15.85 12.46  5.79 14.96 11.74  8.89 13.03 12.84  9.07 ;
 
 
param CenaTransportuZaKilometr := 5;

param MinimalnyZapas : 
	Ziemniaki Kapusta Marchew Buraki :=
S1   0.1278  0.1218  0.1259  0.1217
S2   0.1291  0.1061  0.1196  0.1187
S3   0.1076  0.1030  0.1125  0.0985
S4   0.1150  0.0928  0.1168  0.1130
S5   0.1140  0.1155  0.1282  0.1195
S6   0.1180  0.1178  0.1157  0.1043
S7   0.1263  0.1059  0.1224  0.1045
S8   0.1134  0.1170  0.1149  0.1201
S9   0.1291  0.1138  0.1230  0.1201
S10  0.1182  0.1256  0.1155  0.1090;




param TygodniowaSprzedazSprzedRoku :=
    [*, *, Ziemniaki]:
        S1	S2	S3	S4	S5	S6	S7	S8	S9	S10 :=
    1 	1.86	1.67	0.93	0.58	1.13	0.90	1.73	0.67	1.05	1.29
    2 	2.00	1.12	0.63	1.67	1.36	0.56	2.00	2.16	1.78	1.99
    3 	0.69	1.61	1.98	1.51	1.04	0.23	0.96	1.35	2.01	2.13
    4 	1.05	1.91	0.58	1.77	1.21	0.04	1.59	0.88	1.82	1.47
    5 	0.01	1.09	1.91	0.54	0.72	1.92	0.43	1.25	0.53	2.13
    6 	1.77	0.99	0.19	0.71	1.12	2.05	0.25	1.22	1.56	1.21
    7 	1.79	1.19	2.12	1.33	1.30	0.98	1.32	0.85	1.27	0.65
    8 	0.42	0.42	1.35	1.45	1.05	0.21	1.67	1.93	2.03	1.85
    9 	1.98	2.03	1.19	0.87	1.55	0.61	1.79	1.87	1.97	1.30
    10	2.09	1.28	1.00	1.46	2.19	2.02	1.75	0.19	1.35	1.08
    11	1.39	1.86	0.54	1.61	0.27	0.49	1.75	0.74	1.80	0.23
    12	0.33	1.54	0.11	1.27	2.00	1.18	1.50	0.07	1.40	1.34
    13	1.27	0.87	0.82	2.16	0.09	0.06	2.11	0.42	0.28	0.47
    14	1.76	2.06	0.06	0.94	0.23	0.58	0.49	1.43	0.78	0.40
    15	1.11	0.10	0.23	2.17	0.45	0.80	1.61	1.85	2.02	0.38
    16	1.48	2.13	0.14	1.49	1.86	0.76	0.56	1.32	0.98	0.39
    17	1.04	0.91	1.26	1.12	0.69	0.79	1.84	0.56	1.24	0.04
    18	1.63	0.75	0.11	0.63	0.54	2.10	0.78	0.64	0.80	2.08
    19	1.40	1.37	1.58	0.86	0.92	1.44	0.01	0.43	0.74	0.53
    20	1.41	0.84	1.93	1.25	0.92	0.89	1.55	0.93	1.46	0.11
    21	0.99	0.58	0.36	1.17	1.08	1.24	1.66	1.95	1.09	0.69
    22	1.03	1.78	1.93	1.79	0.42	2.20	1.40	0.19	1.60	2.17
    23	0.89	1.50	0.70	0.48	1.58	0.02	1.81	1.17	0.22	0.27
    24	1.43	1.92	0.62	2.15	0.23	1.88	0.88	0.19	0.61	1.00
    25	1.75	1.90	0.30	1.15	1.44	0.77	1.92	0.62	0.05	0.10
    26	1.50	1.23	2.08	2.07	2.00	0.10	1.65	1.55	1.45	1.57
    27	1.99	1.41	0.83	1.19	0.47	1.30	0.03	0.34	0.74	1.74
    28	1.58	0.75	1.37	0.10	0.37	2.16	0.64	0.87	1.21	0.65
    29	1.06	0.53	0.12	0.40	1.16	0.17	0.89	0.73	0.92	0.23
    30	2.00	1.05	1.85	2.15	0.76	1.06	1.54	0.94	0.67	1.62
    31	1.97	2.02	1.38	0.83	2.14	1.41	0.15	0.20	1.65	0.14
    32	0.03	0.87	1.15	0.99	1.08	1.29	1.50	0.94	0.82	2.17
    33	0.58	1.71	0.95	0.80	0.15	1.90	1.55	1.99	1.00	1.49
    34	0.27	0.88	0.46	0.10	2.09	0.48	0.33	0.44	0.84	1.21
    35	0.34	2.18	2.16	0.34	0.90	1.50	1.93	1.09	2.02	0.72
    36	1.10	1.10	1.48	0.45	1.35	0.49	0.76	2.12	1.98	1.80
    37	0.09	0.33	0.57	1.73	1.85	1.29	1.58	1.78	0.16	0.20
    38	1.91	0.10	0.50	0.10	0.04	1.86	0.73	0.36	0.34	1.45
    39	2.13	1.12	1.98	1.11	1.27	1.50	1.77	1.67	2.18	1.65
    40	1.99	0.46	1.18	1.32	1.82	1.07	1.74	0.86	1.29	1.87
    41	1.76	1.45	0.01	0.41	1.12	0.57	0.15	1.89	2.08	0.67
    42	0.90	1.78	0.15	1.41	0.29	0.64	1.83	0.13	0.09	0.93
    43	1.09	1.90	1.58	1.49	0.34	2.17	0.91	1.35	0.86	0.11
    44	1.04	0.34	0.08	1.36	1.39	0.24	1.21	0.77	0.85	1.71
    45	1.08	1.94	1.35	1.03	1.39	0.75	0.28	1.50	1.37	1.74
    46	0.29	2.01	1.76	2.02	1.92	1.50	1.78	1.15	1.73	0.42
    47	1.72	0.98	1.67	1.01	1.74	0.17	0.11	2.06	1.07	1.98
    48	2.08	1.47	1.26	0.48	0.21	1.80	1.96	1.72	1.54	0.93
    49	0.68	0.26	0.94	1.25	2.03	2.06	0.92	0.23	1.70	1.62
    50	0.08	0.99	1.51	0.08	2.02	2.12	1.59	0.18	0.16	0.80
    51	0.07	0.77	0.03	2.14	1.80	0.16	1.97	0.47	0.46	1.49
    52	2.06	0.28	0.03	0.82	0.06	1.33	1.89	0.42	0.26	0.76


    [*, *, Kapusta]:
        S1	S2	S3	S4	S5	S6	S7	S8	S9	S10 :=
    1 	2.11	0.30	2.13	0.80	1.05	0.65	2.06	2.11	1.40	0.41
    2 	2.18	0.23	1.28	0.35	1.98	2.08	1.77	0.70	0.54	1.66
    3 	0.65	0.93	0.11	0.30	0.06	0.18	0.17	0.93	1.22	1.63
    4 	0.32	0.93	1.40	0.20	0.98	0.82	2.09	0.14	0.90	0.92
    5 	1.60	0.71	0.46	0.65	1.04	2.09	1.75	0.62	1.23	1.52
    6 	1.75	0.99	0.88	1.69	0.96	0.55	1.00	2.06	0.32	1.02
    7 	1.41	1.07	0.46	0.01	1.54	1.37	0.03	0.66	1.69	1.39
    8 	1.20	0.35	1.56	1.04	1.50	1.67	0.52	1.68	0.62	2.16
    9 	0.27	1.95	0.10	0.57	1.16	1.28	0.88	0.23	0.56	0.63
    10	1.66	2.00	1.31	0.09	1.74	0.68	0.75	1.17	0.56	2.02
    11	0.37	0.92	0.64	1.15	1.27	1.38	1.17	0.91	1.40	0.89
    12	1.72	1.74	0.65	0.82	1.39	0.35	1.54	0.85	1.30	0.32
    13	1.47	0.79	1.05	0.92	1.05	1.53	0.71	1.44	0.14	0.67
    14	1.64	0.12	1.37	0.07	1.04	1.96	0.03	1.16	0.16	1.91
    15	1.51	1.63	1.48	0.02	0.10	1.37	2.20	1.92	1.54	1.60
    16	0.51	1.66	0.64	0.24	1.02	0.73	0.38	0.93	1.97	0.96
    17	0.99	1.56	1.16	0.29	2.00	0.98	1.74	0.86	1.78	0.86
    18	0.49	0.44	2.07	1.29	0.12	0.86	0.52	0.20	0.42	0.13
    19	1.41	0.39	1.35	1.35	1.55	1.13	0.63	1.93	0.78	1.01
    20	1.39	1.14	2.10	2.10	2.05	2.06	1.28	1.08	1.55	0.48
    21	0.59	0.11	0.37	0.02	1.44	0.32	1.73	1.50	2.14	0.88
    22	2.03	1.00	0.75	0.23	1.94	1.75	0.72	1.01	0.72	0.07
    23	0.11	0.82	0.47	1.16	0.42	0.45	1.48	1.62	0.69	1.89
    24	0.57	0.76	1.57	0.11	2.06	0.17	1.02	1.60	0.11	1.78
    25	2.15	1.02	0.27	0.19	0.23	1.69	0.92	2.02	0.98	0.18
    26	0.94	1.66	1.83	0.10	0.41	1.08	0.29	1.92	2.06	0.71
    27	0.96	1.23	0.64	1.19	0.45	0.66	0.98	1.33	1.18	0.58
    28	0.52	0.27	1.73	0.23	1.62	0.55	0.63	1.62	1.45	1.63
    29	1.14	1.89	0.28	1.42	0.27	1.62	0.80	1.49	1.55	1.46
    30	0.50	1.83	0.54	1.14	1.49	0.52	1.39	0.64	0.39	1.78
    31	1.22	0.73	1.29	0.07	0.29	0.88	2.15	1.13	0.18	1.69
    32	1.72	1.71	1.26	1.53	0.48	1.61	1.80	1.67	0.78	1.30
    33	1.39	1.98	0.25	1.84	1.16	0.80	1.01	0.04	0.49	1.44
    34	1.46	1.09	2.10	1.06	0.70	1.87	0.58	1.33	1.55	1.81
    35	1.73	0.85	0.14	0.09	1.60	2.12	0.76	0.98	1.60	1.45
    36	0.58	1.48	0.68	0.79	1.19	1.61	0.34	0.06	1.38	0.06
    37	0.11	0.50	1.44	0.16	0.15	2.14	0.94	1.96	0.48	0.96
    38	0.79	0.40	0.73	2.17	1.65	0.85	0.91	0.59	1.17	1.62
    39	1.51	1.02	0.10	2.03	0.91	0.86	0.02	0.31	1.91	1.14
    40	1.61	0.33	0.73	1.85	1.81	0.55	0.06	1.78	0.38	1.74
